Stethoscope	ECG
-0.0289917	0.0393677
-0.010376	0.0402832
0.00427246	0.0430298
0.0161743	0.0460815
0.00579834	0.0488281
-0.000305176	0.0500488
0.0201416	0.0500488
0.0186157	0.0473022
0.010376	0.0402832
0.0134277	0.0292969
0.0100708	0.0164795
0.000610352	0.00305176
-0.0253296	-0.0115967
-0.0506592	-0.0247192
-0.0448608	-0.0320435
-0.0326538	-0.0314331
-0.0195313	-0.0195313
0.0125122	0.00518799
0.0357056	0.0442505
0.0537109	0.0982666
0.0430298	0.166626
-0.00946045	0.250244
-0.0485229	0.350647
-0.057373	0.466919
-0.0454712	0.594177
0.0012207	0.724792
0.0445557	0.85022
0.0692749	0.964661
0.0894165	1.0614
0.0692749	1.13434
0.0387573	1.17645
0.010376	1.17981
-0.0390625	1.13953
-0.0701904	1.05804
-0.100708	0.941467
-0.143127	0.800476
-0.153809	0.647278
-0.135803	0.491943
-0.0421143	0.343933
0.098877	0.211792
0.200806	0.103455
0.260925	0.0238037
0.255127	-0.0250244
0.161743	-0.0463867
0.0164795	-0.0476074
-0.135498	-0.0360107
-0.206299	-0.0177002
-0.160217	0.00335693
-0.0262451	0.0216675
0.119934	0.0341797
0.177917	0.0402832
0.0497437	0.0415039
-0.193481	0.0384521
-0.316467	0.0320435
-0.255127	0.022583
-0.0299072	0.0137329
0.149841	0.00701904
0.184326	0.00244141
0.139771	0
0.0930786	-0.0012207
0.0759888	-0.000915527
0.00488281	0.000915527
-0.143433	0.00427246
-0.242004	0.00762939
-0.233154	0.010376
-0.136414	0.0128174
0.015564	0.0149536
0.148315	0.0161743
0.256958	0.0164795
0.32135	0.0158691
0.2948	0.0134277
0.197144	0.0100708
0.0671387	0.00823975
-0.0942993	0.00823975
-0.245056	0.00946045
-0.354004	0.010376
-0.380859	0.0109863
-0.309753	0.0125122
-0.174561	0.0143433
-0.0158691	0.0161743
0.126953	0.0183105
0.228271	0.0195313
0.300598	0.0198364
0.330811	0.0204468
0.276184	0.0228882
0.179138	0.0259399
0.0878906	0.0286865
-0.00518799	0.0314331
-0.11261	0.0335693
-0.22644	0.0357056
-0.273743	0.0378418
-0.228271	0.0402832
-0.116272	0.0430298
-0.0164795	0.045166
0.00823975	0.0463867
0.0231934	0.0463867
0.0717163	0.0460815
0.120239	0.0460815
0.139465	0.045166
0.118713	0.0442505
0.0769043	0.043335
0.0100708	0.0430298
