L I	L III	L II(Calc.)
-0.057373	-0.0228882	-0.0802612
-0.0588989	-0.0228882	-0.0817871
-0.06073	-0.022583	-0.083313
-0.0622559	-0.0222778	-0.0845337
-0.0622559	-0.0228882	-0.085144
-0.06073	-0.0234985	-0.0842285
-0.0588989	-0.0244141	-0.083313
-0.0558472	-0.0250244	-0.0808716
-0.0515747	-0.0253296	-0.0769043
-0.0479126	-0.0250244	-0.072937
-0.0445557	-0.0234985	-0.0680542
-0.0408936	-0.022583	-0.0634766
-0.0372314	-0.0222778	-0.0595093
-0.0350952	-0.0219727	-0.0570679
-0.0344849	-0.0204468	-0.0549316
-0.0360107	-0.0177002	-0.0537109
-0.0390625	-0.0146484	-0.0537109
-0.0424194	-0.012207	-0.0546265
-0.0454712	-0.0106812	-0.0561523
-0.0491333	-0.0100708	-0.0592041
-0.0524902	-0.00946045	-0.0619507
-0.055542	-0.00915527	-0.0646973
-0.0567627	-0.00915527	-0.065918
-0.0570679	-0.00946045	-0.0665283
-0.0564575	-0.00976563	-0.0662231
-0.0552368	-0.010376	-0.0656128
-0.0540161	-0.0115967	-0.0656128
-0.0540161	-0.0125122	-0.0665283
-0.0537109	-0.0128174	-0.0665283
-0.0524902	-0.0131226	-0.0656128
-0.0515747	-0.0143433	-0.065918
-0.0518799	-0.0158691	-0.067749
-0.0518799	-0.0170898	-0.0689697
-0.0512695	-0.0180054	-0.0692749
-0.0509644	-0.0195313	-0.0704956
-0.0497437	-0.020752	-0.0704956
-0.0476074	-0.0213623	-0.0689697
-0.0457764	-0.0213623	-0.0671387
-0.0442505	-0.020752	-0.0650024
-0.0436401	-0.0198364	-0.0634766
-0.0439453	-0.0183105	-0.0622559
-0.0445557	-0.0167847	-0.0613403
-0.0460815	-0.0149536	-0.0610352
-0.0485229	-0.0131226	-0.0616455
-0.0512695	-0.0109863	-0.0622559
-0.0540161	-0.00976563	-0.0637817
-0.0558472	-0.010376	-0.0662231
-0.057373	-0.0115967	-0.0689697
-0.0585938	-0.0128174	-0.0714111
-0.0592041	-0.0146484	-0.0738525
-0.0588989	-0.0167847	-0.0756836
-0.057373	-0.0192261	-0.0765991
-0.055542	-0.0213623	-0.0769043
-0.0546265	-0.0228882	-0.0775146
-0.0543213	-0.0231934	-0.0775146
-0.0546265	-0.0231934	-0.0778198
-0.0558472	-0.022583	-0.0784302
-0.0570679	-0.0213623	-0.0784302
-0.057373	-0.0204468	-0.0778198
-0.057373	-0.0201416	-0.0775146
-0.0579834	-0.0198364	-0.0778198
